,Estrelas,Idade em anos,Releases,Linhas totais,Media de CBO's,Mediana de CBO's,Media de DIT's,Mediana de DIT's,Media de LCOM's,Mediana de LCOM's
Estrelas,1.0,-0.009754459724650319,0.1200083458845173,0.04595587575827617,-0.08197050241469327,-0.04218695727880081,-0.08400286947552586,-0.04266723411505075,0.024540298275037224,-0.020394316026645556
Idade em anos,-0.009754459724650319,1.0,0.018572127311894372,0.13659391605382643,0.01356522243601895,0.0028318186046523363,0.17004936269366178,0.07706968141696548,0.028162131247677382,0.012605600934052828
Releases,0.1200083458845173,0.018572127311894372,1.0,0.09443174550597368,0.21017398625057038,0.13621887151534068,0.05580149468274014,-0.02827906537663338,-0.012945966610185098,-0.013526726736822819
Linhas totais,0.04595587575827617,0.13659391605382643,0.09443174550597368,1.0,0.16933456613899478,0.1349458270429522,0.04012316552860754,-0.019747026296526658,0.052719035455903625,0.006378042118288096
Media de CBO's,-0.08197050241469327,0.01356522243601895,0.21017398625057038,0.16933456613899478,1.0,0.835534498770266,0.2641345543117829,0.1336688568788439,0.06920768857245485,0.11271656185634955
Mediana de CBO's,-0.04218695727880081,0.0028318186046523363,0.13621887151534068,0.1349458270429522,0.835534498770266,1.0,0.1664481715236743,0.1790856224102235,0.07056418831463959,0.18280699716641585
Media de DIT's,-0.08400286947552586,0.17004936269366178,0.05580149468274014,0.04012316552860754,0.2641345543117829,0.1664481715236743,1.0,0.6539537375207465,0.07360680374143984,0.0289330466866332
Mediana de DIT's,-0.04266723411505075,0.07706968141696548,-0.02827906537663338,-0.019747026296526658,0.1336688568788439,0.1790856224102235,0.6539537375207465,1.0,0.09527941888910621,0.10089969055357151
Media de LCOM's,0.024540298275037224,0.028162131247677382,-0.012945966610185098,0.052719035455903625,0.06920768857245485,0.07056418831463959,0.07360680374143984,0.09527941888910621,1.0,0.02354794203430376
Mediana de LCOM's,-0.020394316026645556,0.012605600934052828,-0.013526726736822819,0.006378042118288096,0.11271656185634955,0.18280699716641585,0.0289330466866332,0.10089969055357151,0.02354794203430376,1.0
